item_number,item_name,item_subcategory
1131992,GL.DAGS KÆMPE ESKIMO,Single Serve
1110348,CHOICE VANILLA CONE,Single Serve
1110359,ASTRONAUT 50 ML,Single Serve
1036513,KÆMPE ESKIMO,Single Serve
1098678,OREO SANDWICH,Single Serve
1110346,MAGNUM DB RASPBERRY,Single Serve
1113841,FEAST SANDWICH,Single Serve
1036623,DAIM CONE,Single Serve
1098560,TOP HAT 90 ML,Single Serve
1098677,CORNETTO KING CONE VANILLA,Single Serve
1098823,UDG SNICKERS ICE BAR,Single Serve
1036103,CHAMPAGNEBRUS,Single Serve
1098827,WOFLER 200 ML,Single Serve
1038203,FILUR,Single Serve
1132788,BREYERS PROTEIN ISBAR 55 ML,Single Serve
1038625,TWISTER,Single Serve
1110349,DAIM CONE BLACK,Single Serve
1115099,YANKIE ISBAR  74 ML,Single Serve
1131990,MARABOU CONE CHOC,Single Serve
1098674,MAGNUM DOBBELT CARAMEL,Single Serve
1134792,DANMARKS VM IS,Single Serve
1038229,KØBENHAVNERSTANG,Single Serve
1036567,UDG HB ZAPP 60 ML,Single Serve
1038466,MAGNUM CLASSIC,Single Serve
1131991,YANKIE ISBAR MANDEL,Single Serve
1036196,MAGNUM MANDEL,Single Serve
1098819,UDG ISMESTERENS LAKRIDS,Single Serve
1036903,KUNG FU,Single Serve
1098824,MAXIBON,Single Serve
1136294,NOGGER SANDWICH,Single Serve
1098822,UDG MARS ICE BAR,Single Serve
1098825,TOMS GULDKARAMEL VAFFEL,Single Serve
1098817,SMARTIES POP UP,Single Serve
1110358,GL.DAGS FLØDEIS LAKRIDS 100 ML,Single Serve
1131989,MAGNUM HAZELNUT PRALINE,Single Serve
1098676,GB MAGNUM DOBBEL PEANUT BUTTER,Single Serve
1110347,MAGNUM BOMBONIERE 6 STK,Single Serve
1098826,GULDHORN,Single Serve
